IDSBR,Status
3149673,Berhasil
3152253,Berhasil
3155537,Berhasil
3158628,Berhasil
3159345,Berhasil
3161814,Berhasil
3163939,Berhasil
3170865,Berhasil
3171130,Berhasil
3171656,Berhasil
3182710,Berhasil
3185231,Berhasil
3186449,Berhasil
3187165,Berhasil
3188716,Berhasil
3189011,Berhasil
3191878,Berhasil
3201107,Berhasil
3202042,Berhasil
3208584,Berhasil
3208730,Berhasil
3214342,Berhasil
3215199,Berhasil
3219724,Berhasil
3222941,Berhasil
3225014,Berhasil
3226740,Berhasil
3228081,Berhasil
3228268,Berhasil
3228777,Berhasil
3234494,Berhasil
3236554,Berhasil
3242427,Berhasil
3248015,Berhasil
3251357,Berhasil
3251746,Berhasil
3252289,Berhasil
3252854,Berhasil
3253077,Berhasil
3257542,Berhasil
3262184,Berhasil
3263056,Berhasil
3267295,Berhasil
3267908,Berhasil
3268393,Berhasil
3270208,Berhasil
3272041,Berhasil
3276037,Berhasil
3284972,Berhasil
3287557,Berhasil
3294682,Berhasil
3299774,Berhasil
3300396,Berhasil
3303620,Berhasil
3306266,Berhasil
3309845,Berhasil
3316053,Berhasil
3317646,Berhasil
3320057,Berhasil
3324094,Berhasil
3324990,Berhasil
3329698,Berhasil
3329918,Berhasil
3331985,Berhasil
3337396,Berhasil
3344074,Berhasil
3349438,Berhasil
3355348,Berhasil
3356624,Berhasil
3356795,Berhasil
3357259,Berhasil
3362088,Berhasil
3362191,Gagal - PCL nan tidak ada
3365485,Berhasil
3368400,Berhasil
3372625,Berhasil
3382477,Berhasil
3384628,Berhasil
3385968,Berhasil
3388178,Berhasil
3391429,Berhasil
3391532,Berhasil
3393603,Berhasil
3407153,Berhasil
3407966,Berhasil
3408627,Berhasil
3412609,Berhasil
3415446,Berhasil
3417763,Berhasil
3420620,Berhasil
3425562,Berhasil
3429152,Berhasil
3436938,Berhasil
3437172,Berhasil
3437460,Berhasil
3440416,Berhasil
3444093,Berhasil
3445343,Berhasil
3454116,Berhasil
3455777,Berhasil
3460997,Berhasil
3469646,Berhasil
3470866,Berhasil
3477983,Berhasil
3483508,Gagal - PCL nan tidak ada
3490510,Berhasil
3497720,Berhasil
3503531,Berhasil
3506872,Berhasil
3509960,Berhasil
3511695,Berhasil
3517414,Berhasil
3517606,Berhasil
3518536,Berhasil
3518836,Berhasil
3523619,Berhasil
3527155,Berhasil
3528290,Berhasil
3547313,Berhasil
3548033,Berhasil
3565762,Berhasil
3566595,Berhasil
3566786,Berhasil
3577923,Berhasil
3581917,Berhasil
3587487,Berhasil
3589684,Berhasil
3594838,Berhasil
3596485,Gagal - PCL nan tidak ada
3596999,Berhasil
3599269,Berhasil
3607136,Berhasil
3613731,Berhasil
3619525,Berhasil
3622558,Berhasil
3622822,Berhasil
3626807,Berhasil
3627604,Berhasil
3627647,Berhasil
3629497,Berhasil
3629510,Berhasil
3629894,Berhasil
3633208,Berhasil
3633742,Berhasil
3634351,Berhasil
3640687,Berhasil
3643113,Berhasil
3643627,Berhasil
3650136,Berhasil
